Level 1 Group,Level 2 Group,Level 3 Group,Level 4 Group,Level 5 Group,Item Name,Quantity,Material $/Unit,Labor $/unit,Labor Rate ($/hr),Labor Productivity (units/hr),Equipment $/unit,Other $/unit,Subcontract $/unit,Subcontract Rate ($/hr),Subcontract Productivity (units/hr),Measurement Unit (Abbreviation),Line Item Description,Inside  Notes,Product Level 1 Group,Product Level 2 Group,Product Level 3 Group,Product Level 4 Group,Product Level 5 Group,Product Name,Vendor SKU,Incremental Order Quantity,Unit Of Purchase (Abbreviation),Price Per Unit,Waste Factor,Description,Private Notes,Tags
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Roof and Gutters,Roof Items & Accessories,Roof Assement,1,,0,0,,,,,,,Each (Ea),"Roof looks warn and past useful life, please nave Conrex roof vendor evaluate."
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Roof and Gutters,Roof Items & Accessories,MISC - Satellite Dish - Remove,0,25,0,0,0,,,,,,Each (Ea),"Remove satellite dish. Cut and cap wires. If attached to roof, leave bracket."
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Roof and Gutters,Gutter replacment:,GUTTERS - Replacemnet,1,,0,0,0,,,,,,Each (Ea),"Gutters are damaged and not functioning correctly, please have Conrex roof vendor evaluate the gutters."
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Roof and Gutters,Gutter Clean & Accessories,GUTTERS - Down-spout Extensions,0,20.67,0,0,0,,,,,,Each (Ea),"Install down spout extensions on all gutter down spouts where needed, screw on with self tapers.",,,,,,,Amerimax Home Products StealthFlow 43 in. Black Vinyl Low Profile Downspout Extension Kit,1002834152,1,each (each),12.58,0,,https://www.homedepot.com/p/Amerimax-Home-Products-StealthFlow-43-in-Black-Vinyl-Low-Profile-Downspout-Extension-Kit-4601/303522071
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Roof and Gutters,Gutter Clean & Accessories,GUTTERS - Clean Gutters (1 story),0,157.98,0,0,0,,,,,,Each (Ea),Clean debris from all gutters
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Roof and Gutters,Gutter Clean & Accessories,GUTTERS - Clean Gutters (2 Story),0,200,0,0,0,,,,,,Each (Ea),Clean debris from all gutters
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Overall Yard Packages,,MANDATORY - YARD - Lawn Care Package (Large),0,185.5,0,0,0,,,,,,Each (Ea),"Once house is completed Mow, weed eat and clean yard of all debris, trash and sticks."
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Overall Yard Packages,,MANDATORY - YARD - Lawn Care Package (Standard),0,130,0,0,0,,,,,,Each (Ea),"Once house is completed Mow, weed eat and clean yard of all debris, trash and sticks."
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Exterior HardScapes & Landscaping:,Exterior Back Fill,YARD - Fill dirt,0,147.162,0,0,0,,,,,,Cubic Yards (CY),Topsoil (Per Cubic Yard),,,,,,,5 cu. yd. Bulk Topsoil,1001381779,1,each (each),410.81,0,,https://www.homedepot.com/p/5-cu-yd-Bulk-Topsoil-SLTS5/205325474
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,Exterior HardScapes & Landscaping:,Exterior Back Fill,YARD - Landscape rock,0,410.81,0,0,0,,,,,,TON (TON),INSTALLED PER TON
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",Exterior Wall Repair & Accessories:,WINDOWS - Window Well Covers,0,20.98,0,0,0,,,,,,Each (Ea),"Install window well cover over basement window sump, screw off to secure, caulk top and sides for moisture seal.",,,,,,,MacCourt 42 in. x 15 in. Polyethylene Reversible Bubble Window Well Cover,932337,1,each (each),26.48,0,,https://www.homedepot.com/p/MacCourt-42-in-x-15-in-Polyethylene-Reversible-Bubble-Window-Well-Cover-W4217/100567550
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",Exterior Wall Repair & Accessories:,MISC - Address Numbers,0,12.14,0,0,0,,,,,,Each (Ea),Add new Six inch screw on address numbers,,,,,,,Everbilt 5 in. Black Floating or FLush House Number 2,1003113651,1,each (each),9.64,0,Per number.,https://www.homedepot.com/p/Everbilt-5-in-Black-Floating-or-FLush-House-Number-2-30726/303974717
Multi Room,"Exterior Overall, Yard and Hardscape items & Accessories",Exterior Walls and Hard Scape,"Exterior Walls: Clean, Paint, Repair & Accessories…",Exterior Wall Repair & Accessories:,Vinyl Siding Repair and install.,0,4.0553812,0,0,0,,,,,,Square Feet (SF),Color Match Vinyl siding repair/replacement:
